Time,Humidity,Temperature,MQ139,TVOC,eCO2,Detector,Cause,Hour,Minute,Second
0:00:00,38.2,21.9,69,0,400,OFF,electrical/clothing,0,0,0
0:00:02,38.2,21.9,69,0,400,OFF,electrical/clothing,0,0,2
0:00:04,38.2,21.9,69,0,400,OFF,electrical/clothing,0,0,4
0:00:06,38.2,21.9,68,0,400,OFF,electrical/clothing,0,0,6
0:00:08,38.3,21.9,68,0,400,OFF,electrical/clothing,0,0,8
0:00:10,38.3,21.9,69,0,400,OFF,electrical/clothing,0,0,10
0:00:12,38.2,21.9,69,0,400,OFF,electrical/clothing,0,0,12
0:00:14,38.3,21.9,68,0,400,OFF,electrical/clothing,0,0,14
0:00:16,38.3,21.9,69,0,400,OFF,electrical/clothing,0,0,16
0:00:18,38.3,21.9,68,0,406,OFF,electrical/clothing,0,0,18
0:00:20,38.3,21.9,68,6,415,OFF,electrical/clothing,0,0,20
0:00:22,38.3,21.9,69,0,405,OFF,electrical/clothing,0,0,22
0:00:24,38.3,21.9,69,1,408,OFF,electrical/clothing,0,0,24
0:00:26,38.3,21.9,69,0,400,OFF,electrical/clothing,0,0,26
0:00:28,38.3,21.9,68,9,402,OFF,electrical/clothing,0,0,28
0:00:30,38.3,21.9,69,7,400,OFF,electrical/clothing,0,0,30
0:00:32,38.3,21.9,69,1,407,OFF,electrical/clothing,0,0,32
0:00:34,38.3,21.9,69,4,400,OFF,electrical/clothing,0,0,34
0:00:36,38.3,21.9,68,3,406,OFF,electrical/clothing,0,0,36
0:00:38,38.4,21.9,68,0,406,OFF,electrical/clothing,0,0,38
0:00:40,38.4,21.9,69,4,406,OFF,electrical/clothing,0,0,40
0:00:42,38.3,21.8,69,5,408,OFF,electrical/clothing,0,0,42
0:00:44,38.3,21.8,69,3,413,OFF,electrical/clothing,0,0,44
0:00:46,38.4,21.8,69,0,412,OFF,electrical/clothing,0,0,46
0:00:48,38.4,21.8,69,0,412,OFF,electrical/clothing,0,0,48
0:00:50,38.4,21.9,69,3,404,OFF,electrical/clothing,0,0,50
0:00:52,38.4,21.8,69,5,412,OFF,electrical/clothing,0,0,52
0:00:54,38.5,21.9,68,1,407,OFF,electrical/clothing,0,0,54
0:00:56,38.4,21.8,69,2,410,OFF,electrical/clothing,0,0,56
0:00:58,38.4,21.8,69,4,421,OFF,electrical/clothing,0,0,58
0:01:00,38.4,21.8,68,4,418,OFF,electrical/clothing,0,1,0
0:01:02,38.4,21.8,68,12,424,OFF,electrical/clothing,0,1,2
0:01:04,38.5,21.8,68,13,418,OFF,electrical/clothing,0,1,4
0:01:06,38.5,21.8,69,16,420,OFF,electrical/clothing,0,1,6
0:01:08,38.6,21.9,68,12,428,OFF,electrical/clothing,0,1,8
0:01:10,38.5,21.8,68,11,423,OFF,electrical/clothing,0,1,10
0:01:12,38.5,21.8,69,17,431,OFF,electrical/clothing,0,1,12
0:01:14,38.5,21.8,69,14,423,OFF,electrical/clothing,0,1,14
0:01:16,38.5,21.8,68,14,416,OFF,electrical/clothing,0,1,16
0:01:18,38.5,21.8,69,21,422,OFF,electrical/clothing,0,1,18
0:01:20,38.5,21.9,68,23,422,OFF,electrical/clothing,0,1,20
0:01:22,38.5,21.8,69,17,415,OFF,electrical/clothing,0,1,22
0:01:24,38.5,21.8,69,19,426,OFF,electrical/clothing,0,1,24
0:01:26,38.6,21.8,68,20,433,OFF,electrical/clothing,0,1,26
0:01:28,38.6,21.9,69,26,439,OFF,electrical/clothing,0,1,28
0:01:30,38.6,21.8,68,24,431,OFF,electrical/clothing,0,1,30
0:01:32,38.6,21.8,68,26,432,OFF,electrical/clothing,0,1,32
0:01:34,38.6,21.8,68,21,432,OFF,electrical/clothing,0,1,34
0:01:36,38.7,21.9,69,26,431,OFF,electrical/clothing,0,1,36
0:01:38,38.7,21.9,69,31,434,OFF,electrical/clothing,0,1,38
0:01:40,38.6,21.8,69,31,437,OFF,electrical/clothing,0,1,40
0:01:42,38.7,21.9,69,30,431,OFF,electrical/clothing,0,1,42
0:01:44,38.7,21.9,68,33,439,OFF,electrical/clothing,0,1,44
0:01:46,38.7,21.9,68,36,445,OFF,electrical/clothing,0,1,46
