Humidity,Temperature,MQ139,TVOC,eCO2,Detector,Status,Cause
38.2,21.9,69,0,400,0,0,electrical/clothing
38.2,21.9,69,0,400,0,0,electrical/clothing
38.2,21.9,69,0,400,0,0,electrical/clothing
38.2,21.9,68,0,400,0,0,electrical/clothing
38.3,21.9,68,0,400,0,0,electrical/clothing
38.3,21.9,69,0,400,0,0,electrical/clothing
38.2,21.9,69,0,400,0,0,electrical/clothing
38.3,21.9,68,0,400,0,0,electrical/clothing
38.3,21.9,69,0,400,0,0,electrical/clothing
38.3,21.9,68,0,406,0,0,electrical/clothing
38.3,21.9,68,6,415,0,0,electrical/clothing
38.3,21.9,69,0,405,0,0,electrical/clothing
38.3,21.9,69,1,408,0,0,electrical/clothing
38.3,21.9,69,0,400,0,0,electrical/clothing
38.3,21.9,68,9,402,0,0,electrical/clothing
38.3,21.9,69,7,400,0,0,electrical/clothing
38.3,21.9,69,1,407,0,0,electrical/clothing
38.3,21.9,69,4,400,0,0,electrical/clothing
38.3,21.9,68,3,406,0,0,electrical/clothing
38.4,21.9,68,0,406,0,0,electrical/clothing
38.4,21.9,69,4,406,0,1,electrical/clothing
38.3,21.8,69,5,408,0,1,electrical/clothing
38.3,21.8,69,3,413,0,1,electrical/clothing
38.4,21.8,69,0,412,0,1,electrical/clothing
38.4,21.8,69,0,412,0,1,electrical/clothing
38.4,21.9,69,3,404,0,1,electrical/clothing
38.4,21.8,69,5,412,0,1,electrical/clothing
38.5,21.9,68,1,407,0,1,electrical/clothing
38.4,21.8,69,2,410,0,1,electrical/clothing
38.4,21.8,69,4,421,0,1,electrical/clothing
38.4,21.8,68,4,418,0,1,electrical/clothing
38.4,21.8,68,12,424,0,1,electrical/clothing
38.5,21.8,68,13,418,0,1,electrical/clothing
38.5,21.8,69,16,420,0,1,electrical/clothing
38.6,21.9,68,12,428,0,1,electrical/clothing
38.5,21.8,68,11,423,0,1,electrical/clothing
38.5,21.8,69,17,431,0,1,electrical/clothing
38.5,21.8,69,14,423,0,1,electrical/clothing
38.5,21.8,68,14,416,0,1,electrical/clothing
38.5,21.8,69,21,422,0,1,electrical/clothing
38.5,21.9,68,23,422,0,1,electrical/clothing
38.5,21.8,69,17,415,0,1,electrical/clothing
38.5,21.8,69,19,426,0,1,electrical/clothing
