,Time,Humidity,Temperature,MQ139,TVOC,eCO2,Detector,Status,Cause
0,0:00:00,38.2,21.9,69,0,400,OFF,0,electrical/clothing
1,0:00:02,38.2,21.9,69,0,400,OFF,0,electrical/clothing
2,0:00:04,38.2,21.9,69,0,400,OFF,0,electrical/clothing
3,0:00:06,38.2,21.9,68,0,400,OFF,0,electrical/clothing
4,0:00:08,38.3,21.9,68,0,400,OFF,0,electrical/clothing
5,0:00:10,38.3,21.9,69,0,400,OFF,0,electrical/clothing
6,0:00:12,38.2,21.9,69,0,400,OFF,0,electrical/clothing
7,0:00:14,38.3,21.9,68,0,400,OFF,0,electrical/clothing
8,0:00:16,38.3,21.9,69,0,400,OFF,0,electrical/clothing
9,0:00:18,38.3,21.9,68,0,406,OFF,0,electrical/clothing
10,0:00:20,38.3,21.9,68,6,415,OFF,0,electrical/clothing
11,0:00:22,38.3,21.9,69,0,405,OFF,0,electrical/clothing
12,0:00:24,38.3,21.9,69,1,408,OFF,0,electrical/clothing
13,0:00:26,38.3,21.9,69,0,400,OFF,0,electrical/clothing
14,0:00:28,38.3,21.9,68,9,402,OFF,0,electrical/clothing
15,0:00:30,38.3,21.9,69,7,400,OFF,0,electrical/clothing
16,0:00:32,38.3,21.9,69,1,407,OFF,0,electrical/clothing
17,0:00:34,38.3,21.9,69,4,400,OFF,0,electrical/clothing
18,0:00:36,38.3,21.9,68,3,406,OFF,0,electrical/clothing
19,0:00:38,38.4,21.9,68,0,406,OFF,0,electrical/clothing
20,0:00:40,38.4,21.9,69,4,406,OFF,1,electrical/clothing
21,0:00:42,38.3,21.8,69,5,408,OFF,1,electrical/clothing
22,0:00:44,38.3,21.8,69,3,413,OFF,1,electrical/clothing
23,0:00:46,38.4,21.8,69,0,412,OFF,1,electrical/clothing
24,0:00:48,38.4,21.8,69,0,412,OFF,1,electrical/clothing
25,0:00:50,38.4,21.9,69,3,404,OFF,1,electrical/clothing
26,0:00:52,38.4,21.8,69,5,412,OFF,1,electrical/clothing
27,0:00:54,38.5,21.9,68,1,407,OFF,1,electrical/clothing
28,0:00:56,38.4,21.8,69,2,410,OFF,1,electrical/clothing
29,0:00:58,38.4,21.8,69,4,421,OFF,1,electrical/clothing
30,0:01:00,38.4,21.8,68,4,418,OFF,1,electrical/clothing
31,0:01:02,38.4,21.8,68,12,424,OFF,1,electrical/clothing
