,Time,Humidity,Temperature,MQ139,TVOC,eCO2,Detector,Status,Cause
0,0:00:00,43.5,21.3,98,0,400,OFF,0,charcoal/cardboard
1,0:00:01,43.5,21.3,97,0,400,OFF,0,charcoal/cardboard
2,0:00:02,43.6,21.4,97,0,400,OFF,0,charcoal/cardboard
3,0:00:03,43.6,21.4,97,0,400,OFF,0,charcoal/cardboard
4,0:00:04,43.7,21.4,98,0,400,OFF,0,charcoal/cardboard
5,0:00:05,43.7,21.4,98,0,400,OFF,0,charcoal/cardboard
6,0:00:06,43.7,21.4,98,0,400,OFF,0,charcoal/cardboard
7,0:00:07,43.7,21.4,98,0,400,OFF,0,charcoal/cardboard
8,0:00:08,43.6,21.4,98,0,400,OFF,0,charcoal/cardboard
9,0:00:09,43.6,21.4,98,0,400,OFF,0,charcoal/cardboard
10,0:00:10,43.7,21.4,98,0,400,OFF,0,charcoal/cardboard
11,0:00:11,43.7,21.4,98,0,400,OFF,0,charcoal/cardboard
12,0:00:12,43.7,21.4,98,0,400,OFF,0,charcoal/cardboard
13,0:00:13,43.7,21.4,98,0,400,OFF,0,charcoal/cardboard
14,0:00:14,43.7,21.4,98,0,400,OFF,0,charcoal/cardboard
15,0:00:15,43.7,21.4,98,0,400,OFF,0,charcoal/cardboard
16,0:00:16,43.7,21.4,98,3,401,OFF,0,charcoal/cardboard
17,0:00:17,43.7,21.4,98,6,402,OFF,0,charcoal/cardboard
18,0:00:18,43.6,21.4,97,9,412,OFF,0,charcoal/cardboard
19,0:00:19,43.6,21.4,98,11,405,OFF,0,charcoal/cardboard
20,0:00:20,43.6,21.4,97,11,405,OFF,0,charcoal/cardboard
21,0:00:21,43.6,21.4,98,11,408,OFF,0,charcoal/cardboard
22,0:00:22,43.6,21.4,97,13,408,OFF,0,charcoal/cardboard
23,0:00:23,43.6,21.4,98,12,416,OFF,0,charcoal/cardboard
24,0:00:24,43.6,21.4,98,13,404,OFF,0,charcoal/cardboard
25,0:00:25,43.6,21.4,98,14,406,OFF,0,charcoal/cardboard
26,0:00:26,43.6,21.4,98,17,404,OFF,0,charcoal/cardboard
27,0:00:27,43.6,21.4,97,15,400,OFF,0,charcoal/cardboard
28,0:00:28,43.6,21.4,97,11,406,OFF,0,charcoal/cardboard
29,0:00:29,43.6,21.4,97,17,413,OFF,0,charcoal/cardboard
30,0:00:30,43.6,21.4,98,9,405,OFF,0,charcoal/cardboard
31,0:00:31,43.6,21.5,97,15,403,OFF,0,charcoal/cardboard
32,0:00:32,43.6,21.5,98,11,413,OFF,0,charcoal/cardboard
33,0:00:33,43.6,21.4,97,11,412,OFF,0,charcoal/cardboard
34,0:00:34,43.6,21.4,98,17,414,OFF,0,charcoal/cardboard
35,0:00:35,43.6,21.4,98,18,410,OFF,0,charcoal/cardboard
36,0:00:36,43.6,21.4,98,19,415,OFF,0,charcoal/cardboard
37,0:00:37,43.6,21.4,97,18,409,OFF,0,charcoal/cardboard
38,0:00:38,43.6,21.4,98,21,412,OFF,0,charcoal/cardboard
39,0:00:39,43.7,21.5,98,11,415,OFF,0,charcoal/cardboard
40,0:00:40,43.7,21.5,98,14,411,OFF,0,charcoal/cardboard
41,0:00:41,43.7,21.5,97,14,404,OFF,0,charcoal/cardboard
42,0:00:42,43.7,21.5,98,14,402,OFF,0,charcoal/cardboard
43,0:00:43,43.7,21.5,98,15,400,OFF,0,charcoal/cardboard
44,0:00:44,43.7,21.5,98,9,401,OFF,0,charcoal/cardboard
45,0:00:45,43.7,21.5,98,10,404,OFF,0,charcoal/cardboard
46,0:00:46,43.7,21.5,98,12,400,OFF,0,charcoal/cardboard
47,0:00:47,43.7,21.5,98,11,401,OFF,0,charcoal/cardboard
48,0:00:48,43.7,21.5,98,14,400,OFF,0,charcoal/cardboard
49,0:00:49,43.7,21.5,98,10,400,OFF,0,charcoal/cardboard
