,Time,Humidity,Temperature,MQ139,TVOC,eCO2,Detector,Status,Cause
0,0:00:00,38.7,21.8,87,0,400,OFF,0,charcoal/clothing
1,0:00:01,38.7,21.8,87,0,400,OFF,0,charcoal/clothing
2,0:00:02,38.9,21.8,88,0,400,OFF,0,charcoal/clothing
3,0:00:03,38.9,21.8,88,0,400,OFF,0,charcoal/clothing
4,0:00:04,39.0,21.9,89,0,400,OFF,0,charcoal/clothing
5,0:00:05,39.0,21.9,88,0,400,OFF,0,charcoal/clothing
6,0:00:06,39.0,21.8,88,0,400,OFF,0,charcoal/clothing
7,0:00:07,39.0,21.8,88,0,400,OFF,0,charcoal/clothing
8,0:00:08,39.0,21.8,88,0,400,OFF,0,charcoal/clothing
9,0:00:09,39.0,21.8,88,0,400,OFF,0,charcoal/clothing
10,0:00:10,39.1,21.8,88,0,400,OFF,0,charcoal/clothing
11,0:00:11,39.1,21.8,88,0,400,OFF,0,charcoal/clothing
12,0:00:12,39.2,21.9,89,0,400,OFF,0,charcoal/clothing
13,0:00:13,39.2,21.9,89,0,400,OFF,1,charcoal/clothing
14,0:00:14,39.1,21.8,89,0,400,OFF,1,charcoal/clothing
15,0:00:15,39.1,21.8,90,2,404,OFF,1,charcoal/clothing
16,0:00:16,39.2,21.8,90,11,403,OFF,1,charcoal/clothing
17,0:00:17,39.2,21.8,90,9,412,OFF,1,charcoal/clothing
18,0:00:18,39.2,21.8,90,17,465,OFF,1,charcoal/clothing
19,0:00:19,39.2,21.8,91,14,484,OFF,1,charcoal/clothing
20,0:00:20,39.2,21.8,93,27,543,OFF,1,charcoal/clothing
21,0:00:21,39.2,21.8,93,37,567,OFF,1,charcoal/clothing
22,0:00:22,39.2,21.8,95,41,614,OFF,1,charcoal/clothing
23,0:00:23,39.2,21.8,97,51,623,OFF,1,charcoal/clothing
24,0:00:24,39.3,21.8,97,63,634,OFF,1,charcoal/clothing
25,0:00:25,39.3,21.8,97,59,616,OFF,1,charcoal/clothing
26,0:00:26,39.4,21.9,97,62,587,OFF,1,charcoal/clothing
27,0:00:27,39.4,21.9,97,64,562,OFF,1,charcoal/clothing
28,0:00:28,39.3,21.8,97,68,570,OFF,1,charcoal/clothing
29,0:00:29,39.3,21.8,97,78,609,OFF,1,charcoal/clothing
30,0:00:30,39.4,21.9,98,83,656,OFF,1,charcoal/clothing
31,0:00:31,39.4,21.9,98,82,657,OFF,1,charcoal/clothing
32,0:00:32,39.4,21.9,98,89,611,OFF,1,charcoal/clothing
33,0:00:33,39.3,21.8,98,95,605,OFF,1,charcoal/clothing
34,0:00:34,39.3,21.8,98,93,612,OFF,1,charcoal/clothing
35,0:00:35,39.4,21.8,98,97,610,OFF,1,charcoal/clothing
36,0:00:36,39.4,21.8,98,95,619,OFF,1,charcoal/clothing
37,0:00:37,39.4,21.8,98,104,636,OFF,1,charcoal/clothing
38,0:00:38,39.4,21.8,99,102,624,OFF,1,charcoal/clothing
39,0:00:39,39.4,21.8,100,105,628,OFF,1,charcoal/clothing
40,0:00:40,39.4,21.8,100,109,639,OFF,1,charcoal/clothing
41,0:00:41,39.4,21.8,101,111,658,OFF,1,charcoal/clothing
42,0:00:42,39.4,21.8,101,112,671,OFF,1,charcoal/clothing
43,0:00:43,39.5,21.8,102,114,684,OFF,1,charcoal/clothing
44,0:00:44,39.5,21.8,102,121,696,OFF,1,charcoal/clothing
45,0:00:45,39.5,21.8,102,129,707,OFF,1,charcoal/clothing
46,0:00:46,39.5,21.8,102,126,701,OFF,1,charcoal/clothing
47,0:00:47,39.6,21.8,103,139,718,OFF,1,charcoal/clothing
48,0:00:48,39.6,21.8,103,135,722,OFF,1,charcoal/clothing
49,0:00:49,39.6,21.8,103,137,747,OFF,1,charcoal/clothing
50,0:00:50,39.6,21.8,104,147,758,OFF,1,charcoal/clothing
51,0:00:51,39.7,21.9,104,151,762,OFF,1,charcoal/clothing
52,0:00:52,39.7,21.9,104,154,758,OFF,1,charcoal/clothing
53,0:00:53,39.6,21.8,104,150,762,OFF,1,charcoal/clothing
54,0:00:54,39.6,21.8,105,154,776,OFF,1,charcoal/clothing
55,0:00:55,39.6,21.8,105,165,805,OFF,1,charcoal/clothing
56,0:00:56,39.6,21.8,105,165,811,OFF,1,charcoal/clothing
57,0:00:57,39.7,21.8,105,171,816,OFF,1,charcoal/clothing
58,0:00:58,39.7,21.8,106,179,832,OFF,1,charcoal/clothing
59,0:00:59,39.7,21.8,107,185,893,OFF,1,charcoal/clothing
60,0:01:00,39.7,21.8,108,187,937,OFF,1,charcoal/clothing
61,0:01:01,39.7,21.8,108,195,993,OFF,1,charcoal/clothing
62,0:01:02,39.7,21.8,110,206,1026,OFF,1,charcoal/clothing
63,0:01:03,39.7,21.8,110,215,1060,OFF,1,charcoal/clothing
64,0:01:04,39.7,21.8,110,218,1071,OFF,1,charcoal/clothing
65,0:01:05,39.7,21.8,111,226,1076,OFF,1,charcoal/clothing
66,0:01:06,39.7,21.8,111,235,1080,OFF,1,charcoal/clothing
67,0:01:07,39.7,21.8,111,234,1108,OFF,1,charcoal/clothing
68,0:01:08,39.7,21.8,112,241,1119,OFF,1,charcoal/clothing
69,0:01:09,39.7,21.8,112,244,1127,OFF,1,charcoal/clothing
70,0:01:10,39.7,21.8,113,247,1139,OFF,1,charcoal/clothing
71,0:01:11,39.7,21.8,114,253,1186,OFF,1,charcoal/clothing
72,0:01:12,39.7,21.8,114,267,1228,OFF,1,charcoal/clothing
73,0:01:13,39.7,21.8,114,271,1227,OFF,1,charcoal/clothing
74,0:01:14,39.7,21.8,115,282,1258,OFF,1,charcoal/clothing
75,0:01:15,39.7,21.8,115,286,1288,OFF,1,charcoal/clothing
76,0:01:16,39.7,21.8,116,302,1308,OFF,1,charcoal/clothing
77,0:01:17,39.7,21.8,116,310,1337,OFF,1,charcoal/clothing
78,0:01:18,39.8,21.8,117,322,1361,OFF,1,charcoal/clothing
79,0:01:19,39.8,21.8,118,325,1428,OFF,1,charcoal/clothing
80,0:01:20,39.8,21.8,118,347,1484,OFF,1,charcoal/clothing
81,0:01:21,39.8,21.8,119,350,1474,OFF,1,charcoal/clothing
82,0:01:22,39.8,21.8,119,367,1495,OFF,1,charcoal/clothing
83,0:01:23,39.8,21.8,119,367,1523,OFF,1,charcoal/clothing
84,0:01:24,39.8,21.8,120,393,1547,OFF,1,charcoal/clothing
85,0:01:25,39.8,21.8,120,387,1558,OFF,1,charcoal/clothing
86,0:01:26,39.8,21.8,121,392,1570,OFF,1,charcoal/clothing
87,0:01:27,39.8,21.8,122,412,1578,OFF,1,charcoal/clothing
88,0:01:28,39.8,21.8,122,399,1579,OFF,1,charcoal/clothing
89,0:01:29,39.8,21.8,123,415,1572,OFF,1,charcoal/clothing
90,0:01:30,39.8,21.8,123,425,1591,OFF,1,charcoal/clothing
91,0:01:31,39.8,21.8,123,427,1600,OFF,1,charcoal/clothing
92,0:01:32,39.8,21.8,124,444,1600,OFF,1,charcoal/clothing
93,0:01:33,39.8,21.8,124,441,1597,OFF,1,charcoal/clothing
94,0:01:34,39.9,21.8,124,452,1582,OFF,1,charcoal/clothing
95,0:01:35,39.9,21.8,125,445,1589,OFF,1,charcoal/clothing
96,0:01:36,39.9,21.8,125,445,1583,OFF,1,charcoal/clothing
97,0:01:37,39.9,21.8,126,454,1613,OFF,1,charcoal/clothing
98,0:01:38,39.9,21.8,125,461,1643,OFF,1,charcoal/clothing
99,0:01:39,39.9,21.8,126,454,1662,OFF,1,charcoal/clothing
100,0:01:40,39.9,21.8,126,469,1685,OFF,1,charcoal/clothing
101,0:01:41,39.9,21.8,126,475,1695,OFF,1,charcoal/clothing
102,0:01:42,39.9,21.8,127,475,1711,OFF,1,charcoal/clothing
103,0:01:43,39.9,21.8,127,482,1718,OFF,1,charcoal/clothing
104,0:01:44,39.9,21.8,128,485,1691,OFF,1,charcoal/clothing
105,0:01:45,39.8,21.8,128,488,1704,OFF,1,charcoal/clothing
106,0:01:46,39.8,21.8,128,494,1709,OFF,1,charcoal/clothing
107,0:01:47,39.9,21.8,128,494,1708,OFF,1,charcoal/clothing
108,0:01:48,39.9,21.8,128,503,1706,OFF,1,charcoal/clothing
109,0:01:49,39.9,21.8,128,499,1729,OFF,1,charcoal/clothing
110,0:01:50,39.9,21.8,128,501,1754,OFF,1,charcoal/clothing
111,0:01:51,39.9,21.8,129,509,1758,OFF,1,charcoal/clothing
112,0:01:52,39.9,21.8,129,503,1752,OFF,1,charcoal/clothing
113,0:01:53,39.9,21.8,129,519,1772,OFF,1,charcoal/clothing
114,0:01:54,39.9,21.8,130,515,1797,OFF,1,charcoal/clothing
115,0:01:55,39.9,21.8,130,528,1812,OFF,1,charcoal/clothing
